case_number,class,class_idx,seed,prompt
72,1546,1534,1334230142,"portrait of a orc from warhammer 4 0 k by hr giger, greg rutkowski, luis royo and wayne barlowe, 8 k "
73,219,218,1062221084,Donald Trump on the set of Icarly with Carly and Sam
74,1934,1916,3938233471,"hyperrealistic dslr film still of justin bieber as a beaver mask, stunning 8 k octane comprehensive 3 d render, inspired by istvan sandorfi & greg rutkowski & unreal engine, perfect facial symmetry, dim volumetric cinematic lighting, extremely hyper - detailed, incredibly real lifelike attributes & flesh texture, intricate, masterpiece, artstation, stunning "
75,469,465,1115291470,"futuristic spacesuit design, year 1 0, 0 0 0 "
76,625,621,3326630143,"a fairytale forest full of cats, light and shadow, by Gil Elvgren and artgerm, WLOP, Felix Kelly and Greg Rutkowski and Gerardo Dottori, high detail, precision detail"
77,288,287,3477598467,"long shot of a huge rainbow clear glass frog, concept art, by leonid afremov, by gerhard richter, jeff koons, volumetric light, smooth, depth perception, high depth of field, 4 k, unreal engine 5, ultradetailed, hyperrealistic, artstation "
78,906,898,1879306297,"medieval hieronymus bosch closeup face portrait of a tin toy goblin moth dragon wearing armour and young girl marriage portrait, nicoletta ceccoli, mark ryden, lostfish, hyung tae, frank frazetta, depth of field, detailed and intricate gothic environment, 8 k resolution, hyperrealistic, octane render "
79,1331,1320,2604600630,"a bowl of apples, extremely detailed oil painting, unreal 5 render, rhads, bruce pennington, studio ghibli, tim hildebrandt, digital art, 8 k artistic photography, octane render, beautiful composition, trending on artstation, award - winning photograph, masterpiece "
80,205,204,1268222440,street level view of a lovecraftian town. lovecraft. lovecraftian city at night by cyril rolando and naomi okubo and dan mumford and ricardo bofill. lovecraftian buildings. cobbled streets. lovecraftian landscape. swirly night sky. 
81,842,834,3862745223,"a beautiful portrait of a fire goddess, flaming background, a detailed painting by greg rutkowski and raymond swanland, featured on cgsociety, fantasy art, detailed painting, artstation hd, photorealistic "
82,650,644,473163247,"intricate hyper detailed ultra sharp 3 d render of sonic the hedgehog medium shot portrait, kymberly rorick style, 1 5 0 mm, global illumination, radiant light, biomechanical cyborg blue large pore fungi, cyberpunk art nouveau large haute couture sonic transparent fractal bones flesh ornate facial muscles, cable wires elegant, hyper realistic sonic the hedgehog octane render, volumetric cinematic lighting, 8 k postproduction "
83,1696,1679,2755334285,Beautiful Photograph of an infinitely tiled infinite foggy liminal hallway pool with archways and water water water water on the floor
84,1997,1979,298671953,"wide establishing shot of many soliders marching in formation on a bridge leading to a gigantic pyramid temple, aerial symmetrical view, by martin deschambault "
85,986,977,4134711652,Boris Johnson surfing on a sunny day
86,767,760,961173713,"A beautiful extremely detailed thangka of WUKONG, He is surrounded by a ring of fire, The colors in this painting are very striking and eye-catching, The background is a deep, rich blue, and the fire is a bright, vibrant red, by zhang daqian,"
87,1282,1272,2069659440,"portrait of kirby in dreamland with a shocked expression, deep focus, d & d, fantasy, intricate, elegant, highly detailed, digital painting, artstation, concept art, matte, sharp focus, illustration, hearthstone, art by super smash bros and artgerm and greg rutkowski and alphonse mucha "
88,1965,1947,179719788,adventures in consciousness 
89,1963,1945,207220529,combination suit armor aloy horizon forbidden west horizon zero dawn radiating a glowing aura global illumination ray tracing hdr fanart arstation by ian pesty and alena aenami artworks in 4 k tribal robot ninja mask helmet backpack 
90,1969,1951,2876,"a beautiful up close view of a walking mechanical castle on a tropical island paradise, underneath a star filled night sky, warm coloured, gigantic pillars and flowers, maschinen krieger, beeple, star trek, star wars, ilm, atmospheric perspective "
91,1658,1641,1992030722,"ancient temple RPG dungeon, D&D official fanart behance hd artstation by Jesper Ejsing, by RHADS and Makoto Shinkai and Lois van baarle and ilva kuvshinov and rossdraws"
92,1989,1971,2035457651,super detailed lowpoly fox standing on autumn leaves 
93,373,370,1063678119,"front view, rainbow beetle, bokeh close up shot super macro, studio light "
94,1551,1539,3069409667,"taylor swift doing a backflip as a sims 4 character, sims 4 style, backflip, taylor swift "
95,1547,1535,3269592408,"psychadelic goddess made of golden marble, beautiful face, hyper detailed, flowing psychadelic background intricate and detailed, ornate 8 k gorgeous intricate detailed, octane render "
96,528,524,2716822064,"realistic detailed image of skull with a golden cloth by Ayami Kojima, Amano, Karol Bak, Greg Hildebrandt, and Mark Brooks, Neo-Gothic, gothic, rich deep colors. Beksinski painting, part by Adrian Ghenie and Gerhard Richter. art by Takato Yamamoto. masterpiece"
97,316,314,665390128,"underground scifi huge experimental tanks and bizarre creatures in it , mysterious laboratory,   low ceiling,  cables hanging from ceiling, thick cables on ground, ground perspective, huge computer screens, neons, top light , epic scene,  illustration, art by ghibli moebius, comics art"
98,1123,1114,3748738237,"assyrian, handsome gigachad hero in ancient courtyard, wearing a toga, babylonian beard, herculean bulging muscular figure, beautiful gigachad, soft lighting, highly detailed face!!, sharp focus, artstation, by gaston bussiere, j. c. leyendecker "
99,1682,1665,72062903,"kodak portra 4 0 0 photographic and realistic, ancien chinese tower, temple, night, moonlight, detailed, octane render, unreal engine, 4 k, artstation, hyper realistic, wide angle, floor flooded, how a river, objects that float, 3 5 mm, sharp focus, soft light, volumetric light, in the style of gregory crewdson "
100,1623,1608,1561789951,"Geralt of Rivia in the style of pixel art, artstation,"
101,656,650,1287669372,"logo for hoang gang by andy warhol, eyvind earle "
102,543,539,1204401883,"matte painting of mos eisley with towering skeletal temple architecture designed by hr giger, great plains, uninhabited, global illumination, volumetric lighting, three moons, tom bagshaw, alphonse mucha, masterpiece, weta digital, high contrast "
103,387,384,651302237,"ultra realistic portrait painting of tom selleck as captain kirk, art by frank frazetta, 4 k, ultra realistic, highly detailed, epic lighting "
104,1047,1038,1122640782,"hyper detailed ultra sharp 3 d render like a photograph aztec serpent warrior princess, fractal plane, deep voyage, parallel existence, earthwave, colorful, neon, ornate, intricate, digital painting, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and h. r. giger, 8 k "
105,1795,1778,4027556909,"hyperrealistic portrait of a vampire watching a mirror. by jeremy mann and alphonse mucha, fantasy art, photo realistic, dynamic lighting, artstation, poster, volumetric lighting, very detailed faces, 4 k "
106,1852,1835,3401690072,"giant star ship fighter, star citizen, concept art, highly detailed "
107,1885,1868,463117525,"space shuttle taking off poster, art deco, dieselpunk, ultra detailed, high resolution "
108,422,419,2440957134,"An epic fantastic realism comic book style painting of the most beautiful flying flowers launched across the dark and starry galaxy, floating bouquets, fisheye, unreal 5, DAZ, hyperrealistic, octane render, dynamic lighting"
109,393,390,497882250,"powerful Mandalorian portrait, atmospheric lighting, painted, intricate, volumetric lighting, beautiful, golden hour, sharp focus, ultra detailed, by Leesha Hannigan, Ross Tran, Thierry Doizon, Kai Carpenter,Ignacio Fernández Ríos"
110,1779,1762,1498576551,", photo realistic, dynamic lighting, artstation, poster, worlds collide, the simpsons, where is waldo, epic scale, by sylvain sarrailh, by studio ghibli, trending on artstation, color theory, volumetric lighting, 8 k, award winning "
111,1107,1098,2507504574,"A quaint wizard tower in the snowy boreal woods, fantasy painting by Karl Gustav Rodde and Ben Aronson"
112,1308,1298,879880140,"cinematic bust portrait of psychedelic robot from left, head and chest only, exotic alien features, robotic enhancements, desaturated, Tim Hildebrandt, Wayne Barlowe, Bruce Pennington, donato giancola, larry elmore, oil on canvas, masterpiece, trending on artstation, featured on pixiv, cinematic composition, dramatic pose, beautiful lighting, sharp, details, hyper-detailed, HD, HDR, 4K, 8K"
113,889,881,1949189846,"Underwater sea dragon, bioluminescent, eerie, emotion, scenery, oil painting, Tooth Wu, Greg Rutkowski, RPG, dynamic lighting, fantasy art, high contrast, depth of field"
114,814,806,2972519167,“Detailed map of the world by Ernst Haeckel with explanations”
115,490,486,3502603007,"realistic detailed face portrait of a beautiful young woman as Celestial Astrology Aquarius by Alphonse Mucha, Greg Hildebrandt, and Mark Brooks, gilded details, spirals, Neo-Gothic, gothic, Art Nouveau, ornate medieval religious icon"
116,605,601,3814627156,full - color cinematic movie still from the 1 9 8 2 anime - adaptation by osamu tezuka of blade runner. science - fiction ; action ; neon ; gritty ; dystopian ; detective mystery. 
117,671,664,2130224495," Yoda wearing a Peaky Blinders suit, elegant, digital painting, concept art, smooth, sharp focus, illustration, from StarCraft by Ruan Jia and Mandy Jurgens and Artgerm and William-Adolphe Bouguerea"
118,389,386,3504908490,Spider-Man
119,131,130,3613634757,"a Bong in a museum exhibit, Polaroid, 1987,"
120,1185,1175,3711301951,"dark scifi illustration 3 / 4 portrait of pepe the frog in hoody, reading necronomicon. cinematic lighting mad scientist style. golden ratio accidental renaissance. in the style of jean michel basquiat and dave mckean. graffiti art, scifi, fantasy, hyper detailed. octane render. concept art. trending on artstation "
121,551,547,2224852968,"highly detailed oil painting | very intricate | cinematic lighting | black, white and blood color scheme, dark background | portrait of a exquisite beautiful vampire girl with long elegant tangles of black hair, eyes, gothic fog ambience, hyper realistic head, fantasy victorian art, in the style of greg rutkowski, zdizslaw beksinski, intricate, alphonse mucha "
122,1604,1590,2015325176,"pull me under by _ beeple, artgerm, _ aaron _ horkey _ amanda _ sage _ bauhaus, salvador dali, _ bernie _ wrightson _ bruce pennington _ frank _ stella _ anne _ stokes _ alena _ aenami _ angus _ mckie, alex grey, akira toriyama, arthur adams, hp lovecraft, andre masson, brian despain. abstract, artstation, design 4 k, native, hd, "
123,1666,1649,1460082497,"art by filip hodas, pixar, and artgerm. level design hotel motel road, beach, ocean, clean, advertising, entertainments, outside, exterior, fly view, isometric "
124,213,212,727167543,"letter S, carved in stone, roman inscription, single letter, minimal, trending dribbble, behance"
125,979,970,1354268581,"serioгs felix the cat wearing a cylinder with yellow bag, a comic book style portrait painting, pixar, character design by mark ryden and pixar and hayao miyazaki, unreal 5, daz, hyperrealistic, octane render, cosplay, rpg portrait, dynamic lighting, intricate detail, springtime vibrancy, cinematic "
126,316,314,3382708727,"Charlize Theron as Venus flytrap, intricate, highly detailed, smooth, artstation, digital illustration by Ruan Jia and Mandy Jurgens and Artgerm and Wayne Barlowe and Greg Rutkowski and Zdislav Beksinski"
127,943,934,784839871,"a professional painting of the great fairy from legend of Zelda ocarina of time, long golden hair full of flowers, beautiful bone structure, symmetrical facial features, floating above a water fountain in a lush garden, , intricate, elegant, digital painting, concept art, smooth, sharp focus, illustration, from Metal Gear, by Ruan Jia and Mandy Jurgens and Artgerm and William-Adolphe Bouguereau"
128,264,263,137079279,"pepe the frog eating at last supper with disciples, bitcoin and crypto graphs and charts in walls, cinematic horror by chris cunningham, junji ito, aleksandra waliszewska, richard corben, norman rockwell, highly detailed, vivid color, beksinski painting, part by adrian ghenie and gerhard richter. art by takato yamamoto. masterpiece "
129,1751,1734,1696823409,"princess elsa in chinese cheongsam, oil painting, sunlit, paint texture, digital painting, highly detailed, artstation, sharp focus, illustration, concept art, ruan jia, charlie bowater, tom bagshaw, norman rockwell "
130,958,949,1948879318,biomechanical dieselpunk apotheosis of medusa 4 k unreal engine 5 artstation cinematic moody lighting complex massive detail by emil melmoth h r giger brian froud gustave dore albrecht durer hieronymus bosch greg rutkowaki 
131,506,502,1893513859,a fantasy landscape of skyrim in the style of philipp urlich 
132,300,298,3542578249,"The Greek God of Hypnosis by John William Waterhouse, Award Winning"
133,1043,1034,397764592,"retrofuturistic portrait of a young girl, space graphics art in background, close up, wlop, dan mumford, artgerm, liam brazier, peter mohrbacher, 8 k, raw, featured in artstation, octane render, cinematic, elegant, intricate, 8 k "
134,1092,1083,1319103189,"a still from the movie avengers : endgame by of francis bacon and norman rockwell and james jean, a still from the movie godfather, and mark brooks, triadic color scheme, by greg rutkowski, syd mead and edward hopper and norman rockwell and beksinski, dark surrealism, orange and turquoise "
135,827,819,1970373695,"full length body portrait of marvel villain eldrad, vibrant volumetric natural light, dark enlightenment, painted by zdzislaw beksinski, jack kirby, tom lovell, alex malveda, greg staples "
136,482,478,408193727,"realistic detailed face portrait of the beautiful young Queen of Precious Stones with rough crystal point clusters growing out of her hair by Alphonse Mucha, Ayami Kojima, Amano, Charlie Bowater, Karol Bak, Greg Hildebrandt, Jean Delville, and Mark Brooks, Art Nouveau, Neo-Gothic, gothic, rich deep moody colors"
137,491,487,3129753599,"Cover of MMA manga, full colored, drawn by Masamune Shirow"
138,1579,1566,4093921886,"film still of Darth Vader goes to a rave in the new Star Wars movie, 4k"
139,1842,1825,212844930,"wide angle full body portrait shot of a beautiful geisha wearing flowing colourful clothes, highly detailed face, detailed eyes, alphonse mucha, rhads, ross tran, artstation, artgerm, octane render, 1 6 k "
140,255,254,48211,"deep natural cave wall, dynamic light, global illumination, illustration by josan gonzales and moebius, rhads, clean thick line, comics style, "
141,471,467,1371523374,"a dramatic ethereal epic symmetrical painting of a (handsome) cowboy in a shimmering! silvery! ((golden)) outfit | tarot card, art deco, art nouveau,  (steampunk), homoerotic, realistic | by Dresden Codak, by Mark Maggiori and ((((Alphonse Mucha))) | trending on artstation"
142,1996,1978,3476993928,"hyper - realistic detailed render of a android - girl!!! sitting on the edge of a ruin in a forest in the style of nier automata by yoko taro, detailed face, close up, medium shot, very high details, 3 d render, maya "
143,797,790,594335495,"very detailed and perfectly readable fine and soft relevant out of lines soft edges painting by beautiful walt disney animation films of the late 1 9 9 0 s and thomas cole in hd, we see a futuristic punk solar city, nice lighting, perfect readability "
144,1127,1118,483395208,"hyper detailed portrait painting of a mech android fighter pilot connected to the mother board masterpiece pattern made from circuits digital art painting wires and electronic components by alphonse mucha and jean giraud moebius, retrowave noir, symmetry, trending on artstation, photorealistic face "
145,720,713,3199233166,"hyperrealistic, full page editorial photo, from house and estates magazine, breath taking, highly detailed, foreground, like 5 0 mm, still photo of art deco house in portofino with garden and flowers and the sea in distance, like a 1 9 8 0 s documentary, by professional photographer, simple italian architecture, realistic proportions "
146,1213,1203,2818134015,"Meditations on Moloch, by Cedric Peyravernay, highly detailed, excellent composition, cinematic concept art, dramatic lighting, trending on ArtStation"
147,1697,1680,2485135533,"seamless pattern of beautiful roses with leaves and throns, colourful, symmetrical, repeating 35mm photography"
148,968,959,2621707762,"3 d render of cybernetic mountain landscape with cathedral ruins with a broken bell against a psychedelic surreal background with 3 d butterflies and 3 d flowers n the style of 1 9 9 0's cg graphics, lsd dream emulator psx, 3 d rendered y 2 k aesthetic by ichiro tanida, 3 do magazine, wide shot "
149,1291,1281,4270479380,"symmetry! abstract futuristic robotic flowers, apex legends, epic lighting, sketch illustration, ultra detailed, art by artgerm and greg rutkowski and alphonse mucha "
150,810,802,127316464,"Siren from Greek Mythology, cute, fantasy, intricate, elegant, highly detailed, digital painting, 4k, HDR, concept art, smooth, sharp focus, illustration, art by TZ BARD"
151,1882,1865,2633791615,", snow, snowstorm, tropical rainforest, rule of thirds, blue water in the right, landscape photo "
