case_number,prompt,class,class_idx
140,a photo of red-backed sandpiper,red-backed sandpiper,140
141,a photo of redshank,redshank,141
142,a photo of dowitcher,dowitcher,142
143,a photo of oystercatcher,oystercatcher,143
144,a photo of pelican,pelican,144
145,a photo of king penguin,king penguin,145
146,a photo of albatross,albatross,146
147,a photo of grey whale,grey whale,147
148,a photo of killer whale,killer whale,148
149,a photo of dugong,dugong,149
150,a photo of sea lion,sea lion,150
151,a photo of Chihuahua,Chihuahua,151
152,a photo of Japanese spaniel,Japanese spaniel,152
153,a photo of Maltese dog,Maltese dog,153
154,a photo of Pekinese,Pekinese,154
155,a photo of Shih-Tzu,Shih-Tzu,155
156,a photo of Blenheim spaniel,Blenheim spaniel,156
157,a photo of papillon,papillon,157
158,a photo of toy terrier,toy terrier,158
159,a photo of Rhodesian ridgeback,Rhodesian ridgeback,159
160,a photo of Afghan hound,Afghan hound,160
161,a photo of basset,basset,161
162,a photo of beagle,beagle,162
163,a photo of bloodhound,bloodhound,163
164,a photo of bluetick,bluetick,164
165,a photo of black-and-tan coonhound,black-and-tan coonhound,165
166,a photo of Walker hound,Walker hound,166
167,a photo of English foxhound,English foxhound,167
168,a photo of redbone,redbone,168
169,a photo of borzoi,borzoi,169
170,a photo of Irish wolfhound,Irish wolfhound,170
171,a photo of Italian greyhound,Italian greyhound,171
172,a photo of whippet,whippet,172
173,a photo of Ibizan hound,Ibizan hound,173
174,a photo of Norwegian elkhound,Norwegian elkhound,174
175,a photo of otterhound,otterhound,175
176,a photo of Saluki,Saluki,176
177,a photo of Scottish deerhound,Scottish deerhound,177
178,a photo of Weimaraner,Weimaraner,178
179,a photo of Staffordshire bullterrier,Staffordshire bullterrier,179
180,a photo of American Staffordshire terrier,American Staffordshire terrier,180
181,a photo of Bedlington terrier,Bedlington terrier,181
182,a photo of Border terrier,Border terrier,182
183,a photo of Kerry blue terrier,Kerry blue terrier,183
184,a photo of Irish terrier,Irish terrier,184
185,a photo of Norfolk terrier,Norfolk terrier,185
186,a photo of Norwich terrier,Norwich terrier,186
187,a photo of Yorkshire terrier,Yorkshire terrier,187
188,a photo of wire-haired fox terrier,wire-haired fox terrier,188
189,a photo of Lakeland terrier,Lakeland terrier,189
190,a photo of Sealyham terrier,Sealyham terrier,190
191,a photo of Airedale,Airedale,191
192,a photo of cairn,cairn,192
193,a photo of Australian terrier,Australian terrier,193
194,a photo of Dandie Dinmont,Dandie Dinmont,194
195,a photo of Boston bull,Boston bull,195
196,a photo of miniature schnauzer,miniature schnauzer,196
197,a photo of giant schnauzer,giant schnauzer,197
198,a photo of standard schnauzer,standard schnauzer,198
199,a photo of Scotch terrier,Scotch terrier,199
200,a photo of Tibetan terrier,Tibetan terrier,200
201,a photo of silky terrier,silky terrier,201
202,a photo of soft-coated wheaten terrier,soft-coated wheaten terrier,202
203,a photo of West Highland white terrier,West Highland white terrier,203
204,a photo of Lhasa,Lhasa,204
205,a photo of flat-coated retriever,flat-coated retriever,205
206,a photo of curly-coated retriever,curly-coated retriever,206
207,a photo of golden retriever,golden retriever,207
208,a photo of Labrador retriever,Labrador retriever,208
209,a photo of Chesapeake Bay retriever,Chesapeake Bay retriever,209
210,a photo of German short-haired pointer,German short-haired pointer,210
211,a photo of vizsla,vizsla,211
212,a photo of English setter,English setter,212
213,a photo of Irish setter,Irish setter,213
214,a photo of Gordon setter,Gordon setter,214
215,a photo of Brittany spaniel,Brittany spaniel,215
216,a photo of clumber,clumber,216
217,a photo of English springer,English springer,217
218,a photo of Welsh springer spaniel,Welsh springer spaniel,218
219,a photo of cocker spaniel,cocker spaniel,219
220,a photo of Sussex spaniel,Sussex spaniel,220
221,a photo of Irish water spaniel,Irish water spaniel,221
222,a photo of kuvasz,kuvasz,222
223,a photo of schipperke,schipperke,223
224,a photo of groenendael,groenendael,224
225,a photo of malinois,malinois,225
226,a photo of briard,briard,226
227,a photo of kelpie,kelpie,227
228,a photo of komondor,komondor,228
229,a photo of Old English sheepdog,Old English sheepdog,229
230,a photo of Shetland sheepdog,Shetland sheepdog,230
231,a photo of collie,collie,231
232,a photo of Border collie,Border collie,232
233,a photo of Bouvier des Flandres,Bouvier des Flandres,233
234,a photo of Rottweiler,Rottweiler,234
235,a photo of German shepherd,German shepherd,235
236,a photo of Doberman,Doberman,236
237,a photo of miniature pinscher,miniature pinscher,237
238,a photo of Greater Swiss Mountain dog,Greater Swiss Mountain dog,238
239,a photo of Bernese mountain dog,Bernese mountain dog,239
240,a photo of Appenzeller,Appenzeller,240
241,a photo of EntleBucher,EntleBucher,241
242,a photo of boxer,boxer,242
243,a photo of bull mastiff,bull mastiff,243
244,a photo of Tibetan mastiff,Tibetan mastiff,244
245,a photo of French bulldog,French bulldog,245
246,a photo of Great Dane,Great Dane,246
247,a photo of Saint Bernard,Saint Bernard,247
248,a photo of Eskimo dog,Eskimo dog,248
249,a photo of malamute,malamute,249
250,a photo of Siberian husky,Siberian husky,250
251,a photo of dalmatian,dalmatian,251
252,a photo of affenpinscher,affenpinscher,252
253,a photo of basenji,basenji,253
254,a photo of pug,pug,254
255,a photo of Leonberg,Leonberg,255
256,a photo of Newfoundland,Newfoundland,256
257,a photo of Great Pyrenees,Great Pyrenees,257
258,a photo of Samoyed,Samoyed,258
259,a photo of Pomeranian,Pomeranian,259
260,a photo of chow,chow,260
261,a photo of keeshond,keeshond,261
262,a photo of Brabancon griffon,Brabancon griffon,262
263,a photo of Pembroke,Pembroke,263
264,a photo of Cardigan,Cardigan,264
265,a photo of toy poodle,toy poodle,265
266,a photo of miniature poodle,miniature poodle,266
267,a photo of standard poodle,standard poodle,267
268,a photo of Mexican hairless,Mexican hairless,268
269,a photo of timber wolf,timber wolf,269
270,a photo of white wolf,white wolf,270
271,a photo of red wolf,red wolf,271
272,a photo of coyote,coyote,272
273,a photo of dingo,dingo,273
274,a photo of dhole,dhole,274
275,a photo of African hunting dog,African hunting dog,275
276,a photo of hyena,hyena,276
277,a photo of red fox,red fox,277
278,a photo of kit fox,kit fox,278
279,a photo of Arctic fox,Arctic fox,279
280,a photo of grey fox,grey fox,280
281,a photo of tabby,tabby,281
282,a photo of tiger cat,tiger cat,282
283,a photo of Persian cat,Persian cat,283
284,a photo of Siamese cat,Siamese cat,284
285,a photo of Egyptian cat,Egyptian cat,285
286,a photo of cougar,cougar,286
287,a photo of lynx,lynx,287
288,a photo of leopard,leopard,288
289,a photo of snow leopard,snow leopard,289
290,a photo of jaguar,jaguar,290
291,a photo of lion,lion,291
292,a photo of tiger,tiger,292
293,a photo of cheetah,cheetah,293
294,a photo of brown bear,brown bear,294
295,a photo of American black bear,American black bear,295
296,a photo of ice bear,ice bear,296
297,a photo of sloth bear,sloth bear,297
298,a photo of mongoose,mongoose,298
299,a photo of meerkat,meerkat,299
300,a photo of tiger beetle,tiger beetle,300
301,a photo of ladybug,ladybug,301
302,a photo of ground beetle,ground beetle,302
303,a photo of long-horned beetle,long-horned beetle,303
304,a photo of leaf beetle,leaf beetle,304
305,a photo of dung beetle,dung beetle,305
306,a photo of rhinoceros beetle,rhinoceros beetle,306
307,a photo of weevil,weevil,307
308,a photo of fly,fly,308
309,a photo of bee,bee,309
310,a photo of ant,ant,310
311,a photo of grasshopper,grasshopper,311
312,a photo of cricket,cricket,312
313,a photo of walking stick,walking stick,313
314,a photo of cockroach,cockroach,314
315,a photo of mantis,mantis,315
316,a photo of cicada,cicada,316
317,a photo of leafhopper,leafhopper,317
318,a photo of lacewing,lacewing,318
319,a photo of dragonfly,dragonfly,319
320,a photo of damselfly,damselfly,320
321,a photo of admiral,admiral,321
322,a photo of ringlet,ringlet,322
323,a photo of monarch,monarch,323
324,a photo of cabbage butterfly,cabbage butterfly,324
325,a photo of sulphur butterfly,sulphur butterfly,325
326,a photo of lycaenid,lycaenid,326
327,a photo of starfish,starfish,327
328,a photo of sea urchin,sea urchin,328
329,a photo of sea cucumber,sea cucumber,329
330,a photo of wood rabbit,wood rabbit,330
331,a photo of hare,hare,331
332,a photo of Angora,Angora,332
333,a photo of hamster,hamster,333
334,a photo of porcupine,porcupine,334
335,a photo of fox squirrel,fox squirrel,335
336,a photo of marmot,marmot,336
337,a photo of beaver,beaver,337
338,a photo of guinea pig,guinea pig,338
339,a photo of sorrel,sorrel,339
340,a photo of zebra,zebra,340
341,a photo of hog,hog,341
342,a photo of wild boar,wild boar,342
343,a photo of warthog,warthog,343
344,a photo of hippopotamus,hippopotamus,344
345,a photo of ox,ox,345
346,a photo of water buffalo,water buffalo,346
347,a photo of bison,bison,347
348,a photo of ram,ram,348
349,a photo of bighorn,bighorn,349
350,a photo of ibex,ibex,350
351,a photo of hartebeest,hartebeest,351
352,a photo of impala,impala,352
353,a photo of gazelle,gazelle,353
354,a photo of Arabian camel,Arabian camel,354
355,a photo of llama,llama,355
356,a photo of weasel,weasel,356
357,a photo of mink,mink,357
358,a photo of polecat,polecat,358
359,a photo of black-footed ferret,black-footed ferret,359
360,a photo of otter,otter,360
361,a photo of skunk,skunk,361
362,a photo of badger,badger,362
363,a photo of armadillo,armadillo,363
364,a photo of three-toed sloth,three-toed sloth,364
365,a photo of orangutan,orangutan,365
366,a photo of gorilla,gorilla,366
367,a photo of chimpanzee,chimpanzee,367
368,a photo of gibbon,gibbon,368
369,a photo of siamang,siamang,369
370,a photo of guenon,guenon,370
371,a photo of patas,patas,371
372,a photo of baboon,baboon,372
373,a photo of macaque,macaque,373
374,a photo of langur,langur,374
375,a photo of colobus,colobus,375
376,a photo of proboscis monkey,proboscis monkey,376
377,a photo of marmoset,marmoset,377
378,a photo of capuchin,capuchin,378
379,a photo of howler monkey,howler monkey,379
380,a photo of titi,titi,380
381,a photo of spider monkey,spider monkey,381
382,a photo of squirrel monkey,squirrel monkey,382
383,a photo of Madagascar cat,Madagascar cat,383
384,a photo of indri,indri,384
385,a photo of Indian elephant,Indian elephant,385
386,a photo of African elephant,African elephant,386
387,a photo of lesser panda,lesser panda,387
388,a photo of giant panda,giant panda,388
389,a photo of barracouta,barracouta,389
390,a photo of eel,eel,390
391,a photo of coho,coho,391
392,a photo of rock beauty,rock beauty,392
393,a photo of anemone fish,anemone fish,393
394,a photo of sturgeon,sturgeon,394
395,a photo of gar,gar,395
396,a photo of lionfish,lionfish,396
397,a photo of puffer,puffer,397
398,a photo of abacus,abacus,398
399,a photo of abaya,abaya,399
400,a photo of academic gown,academic gown,400
401,a photo of accordion,accordion,401
402,a photo of acoustic guitar,acoustic guitar,402
403,a photo of aircraft carrier,aircraft carrier,403
404,a photo of airliner,airliner,404
405,a photo of airship,airship,405
406,a photo of altar,altar,406
407,a photo of ambulance,ambulance,407
408,a photo of amphibian,amphibian,408
409,a photo of analog clock,analog clock,409
410,a photo of apiary,apiary,410
411,a photo of apron,apron,411
412,a photo of ashcan,ashcan,412
413,a photo of assault rifle,assault rifle,413
414,a photo of backpack,backpack,414
415,a photo of bakery,bakery,415
416,a photo of balance beam,balance beam,416
417,a photo of balloon,balloon,417
418,a photo of ballpoint,ballpoint,418
419,a photo of Band Aid,Band Aid,419
420,a photo of banjo,banjo,420
421,a photo of bannister,bannister,421
422,a photo of barbell,barbell,422
423,a photo of barber chair,barber chair,423
424,a photo of barbershop,barbershop,424
425,a photo of barn,barn,425
426,a photo of barometer,barometer,426
427,a photo of barrel,barrel,427
428,a photo of barrow,barrow,428
429,a photo of baseball,baseball,429
430,a photo of basketball,basketball,430
431,a photo of bassinet,bassinet,431
432,a photo of bassoon,bassoon,432
433,a photo of bathing cap,bathing cap,433
434,a photo of bath towel,bath towel,434
435,a photo of bathtub,bathtub,435
436,a photo of beach wagon,beach wagon,436
437,a photo of beacon,beacon,437
438,a photo of beaker,beaker,438
439,a photo of bearskin,bearskin,439
440,a photo of beer bottle,beer bottle,440
441,a photo of beer glass,beer glass,441
442,a photo of bell cote,bell cote,442
443,a photo of bib,bib,443
444,a photo of bicycle-built-for-two,bicycle-built-for-two,444
445,a photo of bikini,bikini,445
446,a photo of binder,binder,446
447,a photo of binoculars,binoculars,447
448,a photo of birdhouse,birdhouse,448
449,a photo of boathouse,boathouse,449
450,a photo of bobsled,bobsled,450
451,a photo of bolo tie,bolo tie,451
452,a photo of bonnet,bonnet,452
453,a photo of bookcase,bookcase,453
454,a photo of bookshop,bookshop,454
455,a photo of bottlecap,bottlecap,455
456,a photo of bow,bow,456
457,a photo of bow tie,bow tie,457
458,a photo of brass,brass,458
459,a photo of brassiere,brassiere,459
460,a photo of breakwater,breakwater,460
461,a photo of breastplate,breastplate,461
462,a photo of broom,broom,462
463,a photo of bucket,bucket,463
464,a photo of buckle,buckle,464
465,a photo of bulletproof vest,bulletproof vest,465
466,a photo of bullet train,bullet train,466
467,a photo of butcher shop,butcher shop,467
468,a photo of cab,cab,468
469,a photo of caldron,caldron,469
470,a photo of candle,candle,470
471,a photo of cannon,cannon,471
472,a photo of canoe,canoe,472
473,a photo of can opener,can opener,473
474,a photo of cardigan,cardigan,474
475,a photo of car mirror,car mirror,475
476,a photo of carousel,carousel,476
477,a photo of carpenter's kit,carpenter's kit,477
478,a photo of carton,carton,478
479,a photo of car wheel,car wheel,479
480,a photo of cash machine,cash machine,480
481,a photo of cassette,cassette,481
482,a photo of cassette player,cassette player,482
483,a photo of castle,castle,483
484,a photo of catamaran,catamaran,484
485,a photo of CD player,CD player,485
486,a photo of cello,cello,486
487,a photo of cellular telephone,cellular telephone,487
488,a photo of chain,chain,488
489,a photo of chainlink fence,chainlink fence,489
490,a photo of chain mail,chain mail,490
491,a photo of chain saw,chain saw,491
492,a photo of chest,chest,492
493,a photo of chiffonier,chiffonier,493
494,a photo of chime,chime,494
495,a photo of china cabinet,china cabinet,495
496,a photo of Christmas stocking,Christmas stocking,496
497,a photo of church,church,497
498,a photo of cinema,cinema,498
499,a photo of cleaver,cleaver,499
500,a photo of cliff dwelling,cliff dwelling,500
501,a photo of cloak,cloak,501
502,a photo of clog,clog,502
503,a photo of cocktail shaker,cocktail shaker,503
504,a photo of coffee mug,coffee mug,504
505,a photo of coffeepot,coffeepot,505
506,a photo of coil,coil,506
507,a photo of combination lock,combination lock,507
508,a photo of computer keyboard,computer keyboard,508
509,a photo of confectionery,confectionery,509
510,a photo of container ship,container ship,510
511,a photo of convertible,convertible,511
512,a photo of corkscrew,corkscrew,512
513,a photo of cornet,cornet,513
514,a photo of cowboy boot,cowboy boot,514
515,a photo of cowboy hat,cowboy hat,515
516,a photo of cradle,cradle,516
517,a photo of crane,crane,517
518,a photo of crash helmet,crash helmet,518
519,a photo of crate,crate,519
520,a photo of crib,crib,520
521,a photo of Crock Pot,Crock Pot,521
522,a photo of croquet ball,croquet ball,522
523,a photo of crutch,crutch,523
524,a photo of cuirass,cuirass,524
525,a photo of dam,dam,525
526,a photo of desk,desk,526
527,a photo of desktop computer,desktop computer,527
528,a photo of dial telephone,dial telephone,528
529,a photo of diaper,diaper,529
530,a photo of digital clock,digital clock,530
531,a photo of digital watch,digital watch,531
532,a photo of dining table,dining table,532
533,a photo of dishrag,dishrag,533
534,a photo of dishwasher,dishwasher,534
535,a photo of disk brake,disk brake,535
536,a photo of dock,dock,536
537,a photo of dogsled,dogsled,537
538,a photo of dome,dome,538
539,a photo of doormat,doormat,539
540,a photo of drilling platform,drilling platform,540
541,a photo of drum,drum,541
542,a photo of drumstick,drumstick,542
543,a photo of dumbbell,dumbbell,543
544,a photo of Dutch oven,Dutch oven,544
545,a photo of electric fan,electric fan,545
546,a photo of electric guitar,electric guitar,546
547,a photo of electric locomotive,electric locomotive,547
548,a photo of entertainment center,entertainment center,548
549,a photo of envelope,envelope,549
550,a photo of espresso maker,espresso maker,550
551,a photo of face powder,face powder,551
552,a photo of feather boa,feather boa,552
553,a photo of file,file,553
554,a photo of fireboat,fireboat,554
555,a photo of fire engine,fire engine,555
556,a photo of fire screen,fire screen,556
557,a photo of flagpole,flagpole,557
558,a photo of flute,flute,558
559,a photo of folding chair,folding chair,559
560,a photo of football helmet,football helmet,560
561,a photo of forklift,forklift,561
562,a photo of fountain,fountain,562
563,a photo of fountain pen,fountain pen,563
564,a photo of four-poster,four-poster,564
565,a photo of freight car,freight car,565
566,a photo of French horn,French horn,566
567,a photo of frying pan,frying pan,567
568,a photo of fur coat,fur coat,568
569,a photo of garbage truck,garbage truck,569
570,a photo of gasmask,gasmask,570
571,a photo of gas pump,gas pump,571
572,a photo of goblet,goblet,572
573,a photo of go-kart,go-kart,573
574,a photo of golf ball,golf ball,574
575,a photo of golfcart,golfcart,575
576,a photo of gondola,gondola,576
577,a photo of gong,gong,577
578,a photo of gown,gown,578
579,a photo of grand piano,grand piano,579
580,a photo of greenhouse,greenhouse,580
581,a photo of grille,grille,581
582,a photo of grocery store,grocery store,582
583,a photo of guillotine,guillotine,583
584,a photo of hair slide,hair slide,584
585,a photo of hair spray,hair spray,585
586,a photo of half track,half track,586
587,a photo of hammer,hammer,587
588,a photo of hamper,hamper,588
589,a photo of hand blower,hand blower,589
590,a photo of hand-held computer,hand-held computer,590
591,a photo of handkerchief,handkerchief,591
592,a photo of hard disc,hard disc,592
593,a photo of harmonica,harmonica,593
594,a photo of harp,harp,594
595,a photo of harvester,harvester,595
596,a photo of hatchet,hatchet,596
597,a photo of holster,holster,597
598,a photo of home theater,home theater,598
599,a photo of honeycomb,honeycomb,599
600,a photo of hook,hook,600
601,a photo of hoopskirt,hoopskirt,601
602,a photo of horizontal bar,horizontal bar,602
603,a photo of horse cart,horse cart,603
604,a photo of hourglass,hourglass,604
605,a photo of iPod,iPod,605
606,a photo of iron,iron,606
607,a photo of jack-o'-lantern,jack-o'-lantern,607
608,a photo of jean,jean,608
609,a photo of jeep,jeep,609
610,a photo of jersey,jersey,610
611,a photo of jigsaw puzzle,jigsaw puzzle,611
612,a photo of jinrikisha,jinrikisha,612
613,a photo of joystick,joystick,613
614,a photo of kimono,kimono,614
615,a photo of knee pad,knee pad,615
616,a photo of knot,knot,616
617,a photo of lab coat,lab coat,617
618,a photo of ladle,ladle,618
619,a photo of lampshade,lampshade,619
620,a photo of laptop,laptop,620
621,a photo of lawn mower,lawn mower,621
622,a photo of lens cap,lens cap,622
623,a photo of letter opener,letter opener,623
624,a photo of library,library,624
625,a photo of lifeboat,lifeboat,625
626,a photo of lighter,lighter,626
627,a photo of limousine,limousine,627
628,a photo of liner,liner,628
629,a photo of lipstick,lipstick,629
630,a photo of Loafer,Loafer,630
631,a photo of lotion,lotion,631
632,a photo of loudspeaker,loudspeaker,632
633,a photo of loupe,loupe,633
634,a photo of lumbermill,lumbermill,634
635,a photo of magnetic compass,magnetic compass,635
636,a photo of mailbag,mailbag,636
637,a photo of mailbox,mailbox,637
638,a photo of maillot,maillot,638
639,a photo of maillot,maillot,639
640,a photo of manhole cover,manhole cover,640
641,a photo of maraca,maraca,641
642,a photo of marimba,marimba,642
643,a photo of mask,mask,643
644,a photo of matchstick,matchstick,644
645,a photo of maypole,maypole,645
646,a photo of maze,maze,646
647,a photo of measuring cup,measuring cup,647
648,a photo of medicine chest,medicine chest,648
649,a photo of megalith,megalith,649
650,a photo of microphone,microphone,650
651,a photo of microwave,microwave,651
652,a photo of military uniform,military uniform,652
653,a photo of milk can,milk can,653
654,a photo of minibus,minibus,654
655,a photo of miniskirt,miniskirt,655
656,a photo of minivan,minivan,656
657,a photo of missile,missile,657
658,a photo of mitten,mitten,658
659,a photo of mixing bowl,mixing bowl,659
660,a photo of mobile home,mobile home,660
661,a photo of Model T,Model T,661
662,a photo of modem,modem,662
663,a photo of monastery,monastery,663
664,a photo of monitor,monitor,664
665,a photo of moped,moped,665
666,a photo of mortar,mortar,666
667,a photo of mortarboard,mortarboard,667
668,a photo of mosque,mosque,668
669,a photo of mosquito net,mosquito net,669
670,a photo of motor scooter,motor scooter,670
671,a photo of mountain bike,mountain bike,671
672,a photo of mountain tent,mountain tent,672
673,a photo of mouse,mouse,673
674,a photo of mousetrap,mousetrap,674
675,a photo of moving van,moving van,675
676,a photo of muzzle,muzzle,676
677,a photo of nail,nail,677
678,a photo of neck brace,neck brace,678
679,a photo of necklace,necklace,679
680,a photo of nipple,nipple,680
681,a photo of notebook,notebook,681
682,a photo of obelisk,obelisk,682
683,a photo of oboe,oboe,683
684,a photo of ocarina,ocarina,684
685,a photo of odometer,odometer,685
686,a photo of oil filter,oil filter,686
687,a photo of organ,organ,687
688,a photo of oscilloscope,oscilloscope,688
689,a photo of overskirt,overskirt,689
690,a photo of oxcart,oxcart,690
691,a photo of oxygen mask,oxygen mask,691
692,a photo of packet,packet,692
693,a photo of paddle,paddle,693
694,a photo of paddlewheel,paddlewheel,694
695,a photo of padlock,padlock,695
696,a photo of paintbrush,paintbrush,696
697,a photo of pajama,pajama,697
698,a photo of palace,palace,698
699,a photo of panpipe,panpipe,699
700,a photo of paper towel,paper towel,700
701,a photo of parachute,parachute,701
702,a photo of parallel bars,parallel bars,702
703,a photo of park bench,park bench,703
704,a photo of parking meter,parking meter,704
705,a photo of passenger car,passenger car,705
706,a photo of patio,patio,706
707,a photo of pay-phone,pay-phone,707
708,a photo of pedestal,pedestal,708
709,a photo of pencil box,pencil box,709
710,a photo of pencil sharpener,pencil sharpener,710
711,a photo of perfume,perfume,711
712,a photo of Petri dish,Petri dish,712
713,a photo of photocopier,photocopier,713
714,a photo of pick,pick,714
715,a photo of pickelhaube,pickelhaube,715
716,a photo of picket fence,picket fence,716
717,a photo of pickup,pickup,717
718,a photo of pier,pier,718
719,a photo of piggy bank,piggy bank,719
720,a photo of pill bottle,pill bottle,720
721,a photo of pillow,pillow,721
722,a photo of ping-pong ball,ping-pong ball,722
723,a photo of pinwheel,pinwheel,723
724,a photo of pirate,pirate,724
725,a photo of pitcher,pitcher,725
726,a photo of plane,plane,726
727,a photo of planetarium,planetarium,727
728,a photo of plastic bag,plastic bag,728
729,a photo of plate rack,plate rack,729
730,a photo of plow,plow,730
731,a photo of plunger,plunger,731
732,a photo of Polaroid camera,Polaroid camera,732
733,a photo of pole,pole,733
734,a photo of police van,police van,734
735,a photo of poncho,poncho,735
736,a photo of pool table,pool table,736
737,a photo of pop bottle,pop bottle,737
738,a photo of pot,pot,738
739,a photo of potter's wheel,potter's wheel,739
740,a photo of power drill,power drill,740
741,a photo of prayer rug,prayer rug,741
742,a photo of printer,printer,742
743,a photo of prison,prison,743
744,a photo of projectile,projectile,744
745,a photo of projector,projector,745
746,a photo of puck,puck,746
747,a photo of punching bag,punching bag,747
748,a photo of purse,purse,748
749,a photo of quill,quill,749
750,a photo of quilt,quilt,750
751,a photo of racer,racer,751
752,a photo of racket,racket,752
753,a photo of radiator,radiator,753
754,a photo of radio,radio,754
755,a photo of radio telescope,radio telescope,755
